,PI,H-Index
1027,Nicholas Kiefer,46
1028,Eric Johnson,90
1029,Hari Sundaram,43
1030,Joel Suss,65
1031,Albert Gunther,61
1032,Laura Rickard,30
1033,Maria Lapinski,37
1034,Josiah Heyman,41
1035,Adam Finkel,21
1036,A Fritschler,12
1037,John Wooders,22
1038,Kevin McCabe,54
1039,Mark Lubell,73
1040,Thomas Tomich,45
1041,David Laibson,93
1042,Ann-Margaret Esnard,27
1043,Meredith Gore,33
1044,Katherine Crosman,11
1045,Eugene Borgida,53
1046,Sarah Schweizer,8
1047,Riitta Katila,25
1048,Martin Smith,111
1049,Michael Beran,61
1050,Andrew Fuligni,92
1051,Olga Wilhelmi,31
1052,Jill Gambill,3
1053,Ailish Burns,4
1054,Christina Boyce-Jacino,3
1055,Carla Berg,6
1056,Shahzeen Attari,24
1057,Paul Kantor,42
1058,James March,117
1059,Shannon Van Zandt,29
1060,Sherine El-Toukhy,16
0,A. Charnes,10
0,Aaron Scherer,24
0,Alan Goodboy,50
0,Alexander Davis,42
0,Alok Bohara,42
0,Ananya Sheth,7
0,Anja Sautmann,11
0,Antonio Rangel,68
0,Antony Cheng,59
0,Baba Shiv,41
0,Bernardo Huberman,103
0,Bobbi Low,53
0,Brandy Aven,11
0,Brian Meacham,32
0,Chris Hendrickson,69
0,Christopher Clarke,63
0,Claudia Schoonhoven,22
0,Coren Apicella,43
0,Dan Ariely,103
0,Dan Levin,44
0,Daniel Houser,42
0,Daniel Posner,33
0,Daniel Totzkay,8
0,David Angel,22
0,David Hess,80
0,David Veenstra,67
0,Denise Lach,28
0,Diane Pataki,73
0,Donald Brown,64
0,Douglas Gillan,25
0,Duane Seppi,24
0,Edward McCaffery,31
0,Eitan Naveh,32
0,Elinor Ostrom,169
